Date and time,temperature,quality information,homogeneous number
2025/6/9 1:00,18.5,8,1
2025/6/9 2:00,18.3,8,1
2025/6/9 3:00,18,8,1
2025/6/9 4:00,17.6,8,1
2025/6/9 5:00,17.5,8,1
2025/6/9 6:00,17.9,8,1
2025/6/9 7:00,19.9,8,1
2025/6/9 8:00,21.5,8,1
2025/6/9 9:00,23.5,8,1
2025/6/9 10:00,24.3,8,1
2025/6/9 11:00,24.1,8,1
2025/6/9 12:00,24.6,8,1
2025/6/9 13:00,23.3,8,1
2025/6/9 14:00,20.9,8,1
2025/6/9 15:00,20.2,8,1
2025/6/9 16:00,20.2,8,1
2025/6/9 17:00,19.7,8,1
2025/6/9 18:00,19.7,8,1
2025/6/9 19:00,19.6,8,1
2025/6/9 20:00,19.4,8,1
2025/6/9 21:00,19.4,8,1
2025/6/9 22:00,19.4,8,1
2025/6/9 23:00,19.5,8,1
2025/6/10 0:00,19.3,8,1
2025/6/10 1:00,19.1,8,1
2025/6/10 2:00,19,8,1
2025/6/10 3:00,19.1,8,1
2025/6/10 4:00,19,8,1
2025/6/10 5:00,18.8,8,1
2025/6/10 6:00,19,8,1
2025/6/10 7:00,19.4,8,1
2025/6/10 8:00,19.4,8,1
2025/6/10 9:00,19.8,8,1
2025/6/10 10:00,19.7,8,1
2025/6/10 11:00,20.4,8,1
2025/6/10 12:00,20.5,8,1
2025/6/10 13:00,20.5,8,1
2025/6/10 14:00,21.5,8,1
2025/6/10 15:00,22.4,8,1
2025/6/10 16:00,22.7,8,1
2025/6/10 17:00,22.8,8,1
2025/6/10 18:00,22.9,8,1
2025/6/10 19:00,22.7,8,1
2025/6/10 20:00,22.6,8,1
2025/6/10 21:00,22.5,8,1
2025/6/10 22:00,22.8,8,1
2025/6/10 23:00,23.4,8,1
2025/6/11 0:00,23.4,8,1
2025/6/11 1:00,23.4,8,1
2025/6/11 2:00,23.1,8,1
2025/6/11 3:00,23.4,8,1
2025/6/11 4:00,21.6,8,1
2025/6/11 5:00,21.6,8,1
2025/6/11 6:00,21.8,8,1
2025/6/11 7:00,22,8,1
2025/6/11 8:00,22.4,8,1
2025/6/11 9:00,22.3,8,1
2025/6/11 10:00,23.3,8,1
2025/6/11 11:00,24,8,1
2025/6/11 12:00,23.2,8,1
2025/6/11 13:00,21.2,8,1
2025/6/11 14:00,22.2,8,1
2025/6/11 15:00,22.7,8,1
2025/6/11 16:00,23.7,8,1
2025/6/11 17:00,23.6,8,1
2025/6/11 18:00,23,8,1
2025/6/11 19:00,21.5,8,1
2025/6/11 20:00,21.1,8,1
2025/6/11 21:00,20.8,8,1
2025/6/11 22:00,20.1,8,1
2025/6/11 23:00,19.4,8,1
2025/6/12 0:00,18.8,8,1
2025/6/12 1:00,18.3,8,1
2025/6/12 2:00,17.9,8,1
2025/6/12 3:00,17.8,8,1
2025/6/12 4:00,17.6,8,1
2025/6/12 5:00,17.2,8,1
2025/6/12 6:00,17.7,8,1
2025/6/12 7:00,19.4,8,1
2025/6/12 8:00,20.6,8,1
2025/6/12 9:00,21.5,8,1
2025/6/12 10:00,22.4,8,1
2025/6/12 11:00,25.1,8,1
2025/6/12 12:00,26.1,8,1
2025/6/12 13:00,26.9,8,1
2025/6/12 14:00,25.8,8,1
2025/6/12 15:00,24.9,8,1
2025/6/12 16:00,25,8,1
2025/6/12 17:00,25.9,8,1
2025/6/12 18:00,23.9,8,1
2025/6/12 19:00,22.4,8,1
2025/6/12 20:00,21.3,8,1
2025/6/12 21:00,20.5,8,1
2025/6/12 22:00,20,8,1
2025/6/12 23:00,19.3,8,1
2025/6/13 0:00,19.1,8,1
